nationalite,studio,timing,title,titre_original,entrees_fr,num_actors,actor_1,actor_2,actor_3,num_director,director_1,director_2,director_3,popularity_actor_1,popularity_actor_2,popularity_actor_3,popularity_director_1,popularity_director_2,continents
 U.S.A., Universal Pictures International France ,103,Black Phone,The Black Phone,136339,3,Mason Thames,Madeleine McGraw,Ethan Hawke,3,Scott Derrickson,Scott Derrickson,C. Robert Cargill,187.0,572.0,970.0,713.0,75.0,Amérique du Nord
 Grande-Bretagne, Metropolitan FilmExport ,130,Désigné Coupable,The Mauritanian,148446,3,Tahar Rahim,Jodie Foster,Shailene Woodley,3,Kevin Macdonald,Rory Haines,Sohrab Noshirvani,35.0,573.0,27.0,714.0,524.0,Europe
 Japon, Art House ,99,La Beauté du geste,"Keiko, me wo sumasete",18599,3,Yukino Kishii,Tomokazu Miura,Masaki Miura,3,Sho Miyake,Masaaki Sakai,Sho Miyake,188.0,574.0,971.0,76.0,525.0,Asie
 U.S.A., Metropolitan FilmExport ,119,Un homme en colère,Wrath of Man,149025,3,Jason Statham,Holt McCallany,Josh Hartnett,3,Guy Ritchie,Guy Ritchie,Eric Besnard,19.0,86.0,972.0,715.0,77.0,Amérique du Nord
 Japon, Star Invest Films France ,94,Nicky Larson - City Hunter: Angel Dust,City Hunter the Movie: Angel Dust,35833,3,Vincent Ropion,Akira Kamiya,Anne Rondeleux,3,Kazuyoshi Takeuchi,Kenji Kodama,Yasuyuki Muto,189.0,575.0,973.0,716.0,526.0,Asie
 Espagne, Wild Bunch Distribution ,102,Mon ami robot,Robot Dreams,13872,0,,,,2,Pablo Berger,Pablo Berger,,,,,,78.0,Europe
 U.S.A., Universal Pictures International France ,110,Tous en scène 2,Sing 2,1173587,3,Matthew McConaughey,Jenifer Bartoli,Reese Witherspoon,3,Garth Jennings,Christophe Lourdelet,Garth Jennings,190.0,576.0,974.0,79.0,527.0,Amérique du Nord
 Russie, Bodega Films ,119,La Grâce,Blazh,3217,3,Maria Lukyanova,Gela Chitava,Eldar Safikanov,2,Ilya Povolotsky,Ilya Povolotsky,,191.0,577.0,975.0,,80.0,Europe
 Yemen, Paname Distribution ,91,Les Lueurs d'Aden,Al Murhaqoon,7536,3,Khaled Hamdan,Abeer Mohammed,Samah Alamrani,3,Amr Gamal,Amr Gamal,Mazen Refaat,192.0,578.0,976.0,717.0,81.0,Asie
 Australie, SND ,94,La Main,Talk To Me,187507,3,Ari McCarthy,Hamish Phillips,Sunny Johnson,4,Danny Philippou,Michael Philippou,Danny Philippou,193.0,579.0,977.0,82.0,528.0,Océanie
 France, Ad Vitam ,133,La Chimère,La Chimera,26496,3,Josh O'Connor,Carol Duarte,Isabella Rossellini,2,Alice Rohrwacher,Alice Rohrwacher,,8.0,580.0,116.0,,83.0,Europe
 Irlande, Saje Distribution ,90,Le Club des miracles,The Miracle Club,11515,3,Maggie Smith,Laura Linney,Kathy Bates,3,Thaddeus O'Sullivan,Jimmy Smallhorne,Timothy Prager,194.0,581.0,117.0,718.0,529.0,Europe
 U.S.A., The Walt Disney Company France ,103,"Encanto, la fantastique famille Madrigal",Encanto,526906,3,Camille Timmerman,Stephanie Beatriz,José Garcia,5,Charise Castro Smith,Byron Howard,Jared Bush,195.0,582.0,978.0,719.0,530.0,Amérique du Nord
 Italie, Le Pacte ,95,Vers un avenir radieux,Il sol dell’avvenire,91786,3,Nanni Moretti,Margherita Buy,Silvio Orlando,3,Nanni Moretti,Francesca Marciano,Nanni Moretti,196.0,583.0,979.0,84.0,531.0,Europe
 U.S.A., Sony Pictures Releasing France ,93,65 - la Terre d'avant,65,187043,3,Adam Driver,Ariana Greenblatt,Chloe Coleman,4,Scott Beck,Bryan Woods,Scott Beck,36.0,584.0,980.0,17.0,532.0,Amérique du Nord
 Corée du Sud, Survivance ,68,Krisha et le Maître de la forêt,Mother Land,370,3,Gil-woo Kang,Ye-eun Kim,Yong-nyeo Lee,2,Jaebeom Park,Jaebeom Park,,197.0,585.0,981.0,,85.0,Asie
 U.S.A., Universal Pictures International France ,112,L'Exorciste - Dévotion,The Exorcist: Believer,264818,3,Leslie Odom Jr.,Ellen Burstyn,Ann Dowd,3,David Gordon Green,Peter Sattler,David Gordon Green,37.0,586.0,982.0,86.0,533.0,Amérique du Nord
