,titre,budget,duree,entrees_fr,franchise,genres,pegi_fr,pegi_usa,entrees_usa,salles_fr,studio,estimation,is_compositeur,annee,origine
680,double zéro,19820000,90,657839,0,comédie, Tous publics ,,,595,warner bros.,,0,2004,france
681,doute,25000000,104,73265,0,drame, Tous publics ,PG,5339742.0,107,walt disney pictures,,1,2009,etats-unis
682,downsizing,68000000,135,273979,0,comédie dramatique, Tous publics ,R,4954287.0,470,paramount,,0,2018,etats-unis
683,downton abbey ii : une nouvelle ère,40000000,126,181353,0,drame, Tous publics ,PG,16000495.0,476,universal,,0,2022,Autre
684,dr. dolittle,71500000,85,345146,1,film familial, Tous publics ,PG,29014324.0,485,ufd,,0,1998,etats-unis
685,dr. dolittle 2,70000000,82,220499,1,film familial, Tous publics ,PG,25037039.0,491,ufd,,0,2001,etats-unis
686,dr. kinsey,11000000,118,57718,0,drame,,R,1292518.0,173,pyramide,,0,2005,etats-unis
687,dracula,50000000,130,942988,0,fantasy, Moins de 12 ans ,R,30521679.0,318,columbia,,0,1993,etats-unis
688,dracula 2001,28000000,99,105868,0,horreur, Moins de 12 ans ,R,8636567.0,318,bac films,,0,2001,etats-unis
689,dracula untold,70000000,92,313301,0,fantasy, Tous publics ,PG,23514615.0,303,universal,,0,2014,etats-unis
690,dragon rouge,78000000,124,590869,1,thriller, Moins de 16 ans ,R,36540945.0,600,uip,,1,2002,etats-unis
691,dragonball evolution,100000000,89,176764,0,fantasy, Tous publics ,PG,4756488.0,374,20th century fox,,1,2009,etats-unis
692,dragons 2,145000000,105,1340940,1,animation, Tous publics ,PG,49451322.0,699,20th century fox,,0,2014,etats-unis
693,dragons 3 : le monde caché,129000000,94,1224811,1,animation, Tous publics ,PG,55022245.0,744,universal,,0,2019,etats-unis
694,dragons 3d,165000000,93,674114,1,animation, Tous publics ,PG,43732319.0,698,paramount,,0,2010,etats-unis
695,dream house,50000000,91,152900,0,thriller, Tous publics ,PG,8129355.0,319,warner bros.,,0,2011,etats-unis
696,"dreamcatcher, l'attrape-rêves",68000000,136,270171,0,horreur, Moins de 12 ans ,R,15027423.0,309,warner bros.,,1,2003,etats-unis
697,dreamgirls,70000000,131,216381,0,musical, Tous publics ,PG,14100050.0,341,paramount,,0,2007,etats-unis
698,drive,15000000,95,467609,0,aventure - action, Moins de 12 ans ,R,11340461.0,246,le pacte,,0,2011,etats-unis
699,driven,72000000,117,197779,0,aventure - action, Tous publics ,PG,12174504.0,383,warner bros.,,0,2001,etats-unis
700,drop zone,45000000,101,83742,0,aventure - action, Tous publics ,R,6143566.0,98,uip,,1,1995,etats-unis
701,drôles de petites bêtes,8550794,88,48816,0,animation, Tous publics ,,,267,gébéka,,0,2017,france
702,du sang et des larmes,40000000,121,127476,0,guerre, Moins de 12 ans ,R,37849910.0,155,snd,,0,2014,etats-unis
703,du vent dans mes mollets,5230000,89,196686,0,comédie dramatique, Tous publics ,,,260,gaumont,,0,2012,france
704,du plomb dans la tête,40000000,91,98210,0,aventure - action, Moins de 12 ans ,R,4548201.0,241,metropolitan,,0,2013,etats-unis
705,ducobu président !,9900000,86,295230,1,film familial, Tous publics ,,,625,ugc distribution,,0,2022,france
706,ducobu passe au vert,231183,80,231183,1,film familial, Tous publics ,,,633,ugc distribution,,0,2024,france
707,dumb & dumber,20000000,106,164756,0,comédie, Tous publics ,PG,16363442.0,234,amlf,,0,1995,etats-unis
708,dumb & dumber de,40000000,108,147054,0,comédie, Tous publics ,PG,36111775.0,295,metropolitan,,0,2014,etats-unis
709,dumb money,30000000,104,24125,0,comédie dramatique, Tous publics ,R,3325504.0,145,metropolitan,,0,2023,etats-unis
710,dumb and dumberer:quand harry rencontra llyod,30000000,85,80386,0,comédie,,PG,10845064.0,250,metropolitan,,0,2003,etats-unis
711,dumbo (2019),170000000,115,550574,0,film familial, Tous publics ,PG,45990748.0,601,walt disney pictures,,1,2019,etats-unis
