actors,budget,compositor,country,date,director,first_week_entries,franchise,genre,producer,remake,studio,title,url
,120 000 000 $,,Etats-Unis,  16/02/2022,,955 650,,Aventure - Action,,,"
                Sony Pictures","
                            Uncharted",https://www.jpbox-office.com/fichfilm.php?id=21042&view=2
"
                            Anna Faris,
                            Marlon Wayans",45 000 000 $,,Etats-Unis,  25/07/2001,"
                                    Keenen Ivory Wayans",945 404,Franchise,Comédie,,,"
                Bac Films","
                            Scary Movie 2",https://www.jpbox-office.com/fichfilm.php?id=2097&view=2
,125 000 000 $,,Etats-Unis,  07/04/2010,"
                                    Louis Leterrier",955 263,,Péplum,,Remake,"
                Warner Bros.","
                            Le Choc des Titans (2010)",https://www.jpbox-office.com/fichfilm.php?id=10697&view=2
,100 000 000 $,,Etats-Unis,  20/07/2005,,952 331,Franchise,Comicbook,,,"
                20th Century Fox","
                            Les 4 Fantastiques",https://www.jpbox-office.com/fichfilm.php?id=713&view=2
,175 000 000 $,,Etats-Unis,  02/08/2017,,950 353,Franchise,Animation,,,"
                Walt Disney Pictures","
                            Cars 3",https://www.jpbox-office.com/fichfilm.php?id=16452&view=2
,220 000 000 $,,Etats-Unis,  29/11/2017,"
                                    Lee Unkrich",948 846,,Animation,,,"
                Walt Disney Pictures","
                            Coco (2017)",https://www.jpbox-office.com/fichfilm.php?id=16415&view=2
,220 000 000 $,,Etats-Unis,  29/11/2017,"
                                    Lee Unkrich",948 846,,Animation,John Lasseter,,"
                Walt Disney Pictures","
                            Coco (2017)",https://www.jpbox-office.com/fichfilm.php?id=16415&view=2
,185 000 000 $,,Etats-Unis,  01/08/2012,,955 285,,Animation,,,"
                Walt Disney Pictures","
                            Rebelle",https://www.jpbox-office.com/fichfilm.php?id=12286&view=2
,130 000 000 $,,Etats-Unis,  09/07/2008,,955 571,Franchise,Animation,,,"
                Paramount","
                            Kung Fu Panda",https://www.jpbox-office.com/fichfilm.php?id=8&view=2
,150 000 000 $,,Etats-Unis,  25/07/2007,"
                                    Michael Bay",956 475,Franchise,Science Fiction,,,"
                Paramount","
                            Transformers",https://www.jpbox-office.com/fichfilm.php?id=139&view=2
