film_id,date_sortie
tt0088323,"November 21, 1984"
tt0083658,"September 15, 1982"
tt0450278,"January 27, 2006"
tt6968614,"May 12, 2023"
tt1219289,"June 8, 2011"
tt0330793,"June 9, 2004"
tt9201772,No date found
tt2345759,"May 30, 2017"
tt1259528,"February 21, 2018"
tt0120655,"May 21, 1999"
tt1950186,"November 13, 2019"
tt0446029,"December 1, 2010"
tt4975722,"February 1, 2017"
tt9100018,"November 8, 2023"
tt0062622,"September 27, 1968"
tt10676052,No date found
tt0088763,"October 30, 1985"
tt7713068,"February 5, 2020"
tt0108399,"November 3, 1993"
tt1298650,"May 14, 2011"
tt12004038,"September 3, 2022"
tt14539740,"April 3, 2024"
tt1276104,"October 30, 2012"
tt27546190,"May 18, 2023"
tt3774694,"May 20, 2015"
tt0315327,"September 3, 2003"
tt0101605,"August 28, 1991"
tt0077631,"October 3, 1978"
tt22987820,"March 29, 2024"
tt0955308,"May 12, 2010"
tt19864802,No date found
tt0251075,"July 18, 2001"
tt0299658,"February 26, 2003"
tt9682428,"January 4, 2024"
tt0107050,"June 22, 1994"
tt15078804,No date found
tt2103267,"April 3, 2013"
tt0295178,"October 23, 2002"
tt28182736,No date found
tt29372176,No date found
tt13287846,"November 14, 2023"
tt3235888,"May 17, 2014"
tt5052474,"June 27, 2018"
tt1086772,"September 12, 2014"
tt0055047,"February 2, 1962"
tt0075314,"May 20, 1976"
tt15799866,"December 29, 2023"
tt1477834,"December 19, 2018"
tt1189340,"May 25, 2011"
tt27047903,No date found
tt7392014,No date found
tt16311594,No date found
tt0078935,"April 22, 1981"
tt31189868,"April 5, 2024"
tt11286314,"December 13, 2021"
tt0109506,"August 3, 1994"
tt20234774,"January 31, 2024"
tt0090555,"February 4, 1987"
tt0097493,"July 31, 1991"
tt0092995,"March 11, 1987"
tt3463938,No date found
tt11145118,"March 1, 2023"
tt0067093,"December 1, 1971"
tt0094761,"February 1, 1989"
tt1781769,"December 5, 2012"
tt0120669,"May 15, 1998"
tt19890316,No date found
tt1231587,"October 6, 2010"
tt0093437,"January 13, 1988"
tt4765284,"December 22, 2017"
tt0831387,"May 14, 2014"
tt25568296,No date found
tt0111161,"March 1, 1995"
tt15140278,"September 10, 2023"
tt0265651,"January 12, 2006"
tt14145436,No date found
tt0327679,"May 11, 2005"
tt0050976,"May 15, 1957"
tt31510396,No date found
tt6857112,"March 20, 2019"
tt0357413,"May 18, 2005"
tt9198364,"May 20, 2022"
tt10168670,"November 23, 2022"
tt20215968,No date found
tt0119167,"May 14, 1997"
tt0068473,"September 20, 1972"
tt6533240,"November 6, 2019"
tt6472976,"March 22, 2019"
tt0047478,"November 30, 1955"
tt12545566,No date found
tt1790885,"January 23, 2013"
tt9742794,"March 3, 2021"
tt0884328,"February 27, 2008"
tt0429493,"June 16, 2010"
tt0309987,"November 11, 2003"
tt14114802,"November 18, 2022"
tt14647404,No date found
tt6208148,"March 20, 2025"
tt20115766,No date found
tt12530246,"December 9, 2022"
tt3640424,"November 23, 2016"
tt10954984,"August 10, 2022"
tt1605783,"May 11, 2011"
tt0129387,"November 10, 1998"
tt0096438,"October 18, 1988"
tt0114814,May 1995
tt0163978,"February 16, 2000"
tt0083907,"May 16, 1982"
tt1312221,No date found
tt8239946,"September 4, 2019"
tt4786282,"August 24, 2016"
tt0108333,"February 2, 1994"
tt13872248,"October 9, 2021"
tt0405325,"July 29, 2005"
tt26655108,No date found
tt0267913,"July 10, 2002"
tt0111282,"February 1, 1995"
tt0056058,"May 15, 1963"
tt0118688,"July 9, 1997"
tt0092240,"June 18, 1989"
tt0264464,"January 28, 2003"
tt0116367,"June 26, 1996"
tt1074638,"October 24, 2012"
tt0119174,"November 5, 1997"
tt14088510,"May 8, 2024"
tt1253863,"March 5, 2014"
tt1028528,"May 22, 2007"
tt23319892,No date found
tt0067992,"September 15, 1971"
tt22022452,No date found
tt0082186,"July 8, 1981"
tt0083564,"October 27, 1982"
tt28225049,No date found
tt15574270,No date found
tt0277434,"April 17, 2002"
tt1980929,"July 30, 2014"
tt10944760,"July 13, 2021"
tt0292963,"September 7, 2007"
tt6644200,"June 20, 2018"
tt0903624,"December 12, 2012"
tt0795421,"September 10, 2008"
tt6998518,"May 12, 2018"
tt7144666,"June 22, 2022"
tt0800039,"June 18, 2008"
tt0232500,"September 26, 2001"
tt0086960,"March 27, 1985"
tt1542344,"February 23, 2011"
tt4513678,"December 1, 2021"
tt0073580,"May 14, 1975"
tt1615160,"November 8, 2017"
tt5311514,"December 28, 2016"
tt0379786,"September 3, 2005"
tt0363163,"January 5, 2005"
tt0117998,"August 21, 1996"
tt2076822,"July 27, 2021"
tt13375076,"May 10, 2023"
tt4291600,"December 12, 2016"
tt1809398,"January 7, 2015"
tt0790636,"January 29, 2014"
tt23330554,No date found
tt14230388,"May 23, 2023"
tt14570440,No date found
tt0259324,"February 21, 2007"
tt1136608,"September 5, 2009"
tt0091445,No date found
tt0172495,"June 20, 2000"
tt0119698,"January 12, 2000"
tt0091042,"December 17, 1986"
tt0145487,"June 12, 2002"
tt3291150,"October 11, 2023"
tt6398184,"September 25, 2019"
tt0800080,"July 23, 2008"
tt0120685,May 1998
tt0095327,"June 19, 1996"
tt0056592,"May 18, 1963"
tt1038686,"March 24, 2010"
tt1345836,"July 25, 2012"
tt0116287,"June 24, 1998"
tt1037705,"January 20, 2010"
tt22050754,"May 15, 2024"
tt0385002,"May 31, 2006"
tt26861992,"February 23, 2024"
tt1872181,"April 11, 2014"
tt0080455,"November 7, 1980"
tt2042568,"May 19, 2013"
tt1160419,"September 10, 2021"
tt0480249,"December 19, 2007"
tt0120484,"June 16, 1999"
tt11762114,"January 10, 2024"
tt0071315,"December 18, 1974"
tt0209163,"May 23, 2001"
tt13433802,No date found
tt31189901,No date found
tt0435625,"October 7, 2005"
tt7737224,No date found
tt7766378,No date found
tt1399103,"June 29, 2011"
tt21276878,"August 25, 2023"
tt24068064,"August 16, 2023"
tt0099348,"February 20, 1991"
tt5814060,"September 19, 2018"
tt0456554,"March 7, 2007"
tt3371366,"June 28, 2017"
tt0099422,"September 26, 1990"
tt0362227,"September 4, 2004"
tt0096283,February 1992
tt0093748,"March 16, 1988"
tt0114682,"December 4, 1996"
tt0245712,"May 14, 2000"
tt11003218,"September 5, 2021"
tt0064505,"January 14, 1970"
tt1598778,"November 9, 2011"
tt6479178,"February 1, 2022"
tt1320253,"August 5, 2010"
tt0365686,"September 28, 2005"
tt20420628,No date found
tt2278871,"May 23, 2013"
tt29319990,No date found
tt0120762,"November 25, 1998"
tt0088930,"May 7, 1986"
tt0480025,"July 6, 2007"
tt0348333,No date found
tt2488496,"December 16, 2015"
tt0422720,"May 24, 2006"
tt0074958,"March 16, 1977"
tt3915174,"December 7, 2022"
tt0088794,No date found
tt0289043,"January 30, 2003"
tt7738330,No date found
tt1291150,"October 15, 2014"
tt0036775,"July 31, 1946"
tt11426232,No date found
tt2406566,"August 16, 2017"
tt0365748,"July 27, 2005"
tt0816692,"October 31, 2014"
tt0499549,"December 16, 2009"
tt13380324,No date found
tt0095705,"March 1, 1989"
tt0084522,"August 18, 1982"
tt19500164,"June 14, 2023"
tt0082694,"August 11, 1982"
tt0830515,"October 29, 2008"
tt9620292,"May 26, 2021"
tt0076729,"December 21, 1977"
tt27075304,No date found
tt30215084,"February 16, 2024"
tt7131622,"May 21, 2019"
tt7510222,No date found
tt0486822,"August 22, 2007"
tt13400336,"May 25, 2023"
tt10919380,"June 23, 2021"
tt16233952,"December 9, 2022"
tt11563598,No date found
tt0187393,"July 12, 2000"
tt0101272,"April 15, 1992"
tt4873118,"June 23, 2023"
tt0449088,"May 23, 2007"
tt10293406,"October 14, 2021"
tt4978420,"August 7, 2024"
tt11097384,"March 1, 2024"
tt0092513,"July 6, 1988"
tt2305051,"January 14, 2015"
tt12801262,"June 17, 2021"
tt2194499,"October 4, 2013"
tt13841850,May 2022
tt2316204,"May 8, 2017"
tt20561198,No date found
tt15771916,No date found
tt22805652,No date found
tt1262426,No date found
tt5164214,"June 13, 2018"
tt8946378,"November 27, 2019"
tt9421570,"October 1, 2021"
tt10275534,"April 26, 2023"
tt4589218,"November 8, 2023"
tt0106226,"September 22, 1993"
tt14270702,"January 27, 2024"
tt3181822,"May 20, 2015"
tt1010048,"January 14, 2009"
tt0139654,"November 7, 2001"
tt4123430,"November 8, 2018"
tt13149356,"May 20, 2022"
tt0142342,"September 22, 1999"
tt1091191,"January 1, 2014"
tt0468569,"August 13, 2008"
tt8110652,"January 9, 2023"
tt15000156,"May 21, 2023"
tt0082348,"May 23, 1981"
tt13269536,"June 5, 2021"
tt6722802,"February 15, 2023"
tt16374352,No date found
tt0054698,"December 6, 1961"
tt7405458,"February 1, 2023"
tt0964517,"March 9, 2011"
tt8936646,"April 24, 2020"
tt0073195,"January 28, 1976"
tt0200550,"November 1, 2000"
tt0257044,"September 1, 2002"
tt12873562,"August 24, 2022"
tt0302886,"August 13, 2003"
tt0093493,"January 29, 2004"
tt2140479,"November 2, 2016"
tt6467266,"December 22, 2021"
tt2704998,"April 18, 2018"
tt0187078,"August 23, 2000"
tt2184339,"August 7, 2013"
tt0322259,"June 18, 2003"
tt0082377,"October 7, 1981"
tt0814255,"February 10, 2010"
tt0327137,"February 18, 2004"
tt0104257,"December 16, 1992"
tt6263850,"July 24, 2024"
tt0110413,"September 14, 1994"
tt1292566,"March 2, 2016"
tt0112462,"July 10, 1995"
tt7888964,"June 2, 2021"
tt0086465,"November 16, 1983"
tt2788710,"January 28, 2015"
tt0983193,"October 23, 2011"
tt0359950,"January 1, 2014"
tt4016934,"May 14, 2016"
tt16101924,No date found
tt3783958,"January 10, 2017"
tt23849204,No date found
tt0046247,"December 4, 1953"
tt0337741,"February 4, 2004"
tt0103786,"June 24, 1992"
tt15325794,"December 7, 2022"
tt12262116,"August 5, 2022"
tt26926267,"May 9, 2024"
tt9893250,"February 19, 2021"
tt2820852,"April 1, 2015"
tt2883512,"September 7, 2014"
tt0120663,"September 2, 1999"
tt2224026,"April 15, 2015"
tt1190080,"November 11, 2009"
tt0162222,"January 17, 2001"
tt1124035,"October 26, 2011"
tt0328538,"September 8, 2003"
tt6856242,"December 29, 2021"
tt0089841,"January 8, 1986"
tt0109424,"March 22, 1995"
tt15268244,"July 5, 2023"
tt0114436,"January 10, 1996"
tt21626284,No date found
tt1660648,No date found
tt0116922,"January 15, 1997"
tt14472156,No date found
tt0091369,"December 3, 1986"
tt6920084,"November 19, 2021"
tt15354916,"September 7, 2023"
tt7282468,"May 16, 2018"
tt0328107,"October 13, 2004"
tt2203939,"June 14, 2014"
tt0363771,"December 21, 2005"
